device	time	BATCH_CREATE	BATCH_UPDATE	BATCH_READ	BATCH_ACCESS	BATCH_DELETE
Android SDK built for x86	2017-06-02 12:43:46	871	939	146	1	7	
Android SDK built for x86	2017-06-02 12:43:48	792	857	117	2	24	
Android SDK built for x86	2017-06-02 12:43:51	827	880	146	1	29	
Android SDK built for x86	2017-06-02 12:43:53	755	995	110	1	9	
Android SDK built for x86	2017-06-02 12:43:56	723	975	137	2	26	
Android SDK built for x86	2017-06-02 12:43:58	812	861	115	2	6	
