device	time	ONE_BY_ONE_CREATE	ONE_BY_ONE_UPDATE
Android SDK built for x86	2017-06-02 13:02:56	9429	10902	
Android SDK built for x86	2017-06-02 13:03:17	9546	9858	
Android SDK built for x86	2017-06-02 13:03:37	9787	7741	
Android SDK built for x86	2017-06-02 13:03:54	8627	9293	
Android SDK built for x86	2017-06-02 13:04:12	8875	8468	
Android SDK built for x86	2017-06-02 13:04:30	9210	8401	
Android SDK built for x86	2017-06-02 13:04:48	7084	8387	
Android SDK built for x86	2017-06-02 13:05:04	10804	16713	
