device	time	BATCH_CREATE	BATCH_UPDATE	BATCH_READ	BATCH_ACCESS	BATCH_DELETE
Android SDK built for x86	2017-06-02 13:01:08	2344	4938	592	10	32	
Android SDK built for x86	2017-06-02 13:01:17	1933	10547	290	5	7	
Android SDK built for x86	2017-06-02 13:01:31	969	3631	281	7	93	
Android SDK built for x86	2017-06-02 13:01:36	927	3955	160	5	7	
Android SDK built for x86	2017-06-02 13:01:42	704	3186	239	6	6	
Android SDK built for x86	2017-06-02 13:01:47	785	3278	214	5	7	
Android SDK built for x86	2017-06-02 13:01:52	1073	4054	188	5	19	
Android SDK built for x86	2017-06-02 13:01:57	710	3331	925	8	26	
